file,start,end,patches
00aa4f33104d6febf3aa09ded6c7f7a5756a8fb5d200bff914f5c3ecd92f4d7c.npz,1204421,4862600,"[[2985741, 3034282]]"
0213a50180f5a3d4dc61c3b0537a133e3516d0d4d3549a736ac381b44fe43f80.npz,12312,4908648,[]
0208dfaf027fdd38895cd51b62fc8c2a9736a7ea5b2c87e15269dbff7a0923fd.npz,62248,5016992,"[[1720975, 1771822]]"
023bc5e1fe18aba9573c8893eb914a427e4cad68a4958a9a03840cf76fd43bff.npz,957512,5033200,[]
03809280e020115c564a69c97df5149b867919b209c906c239cffdc19298c4e8.npz,563960,5060584,"[[2563839, 2612494]]"
00d1f1ccbad15aff1c33b955d694615c0bad02c3e04e28745f9090c82351d55c.npz,638832,5110720,[]
022f1d5c0562dc2cc7037764afc34d52eb09120354d69f45becaf7081d0add0e.npz,1157112,5337744,"[[3046160, 3047752]]"
02307c58a18ad62e254e5da0ed6fb5056acc3b93b4a19b820899fc4fe0f62457.npz,478286,5296864,[]
0182e4f22ebca7a359fe3ee95150ba61d5b0ac20e4960a98c25edac50bc1de55.npz,439331,5266400,[]
002f673915f7e689900f28058c7e0f7d2a9a913f5f3a955c262c45cf67394b42.npz,708184,5341368,[]
0278a26a11269c1b5d465ae2e680ce6dc6a7f725efbf115332ade2c2e7e121bf.npz,604888,5480176,"[[1673608, 1676280]]"
036f41c412de46f60ca1abb00a57a334355065fc43242fc83f15a2bfbc8433ba.npz,929707,5816416,[]
03a25a45890a2387cc689ab1bea47cbe7d73683ff7cc2cb42429d37c4ff401a1.npz,952512,5622640,"[[4381782, 4488292]]"
02eabee251dab86870f65f65b45e955e3f98d579a50b635546582ee895935489.npz,701420,5550771,"[[1935484, 1938103]]"
03872a310f91b56f2da97a7013535260b2ca6b2afc17cabb7befd9db8b722cfe.npz,14448,5815328,[]
01aa33743ae0ecd2d87fdcd41b439ac3498ea39b1d3c496de05a7e5f78a73434.npz,1286992,5520040,"[[2249194, 2294008], [3528824, 3530880], [3554416, 3555784], [3602918, 3607031]]"
03528df8b67a8b32d38f6e298c64d5c602415b90748bc5926c9943099adc9665.npz,667504,5904800,"[[4832432, 4881418]]"
00a7ea8378dec2f2904e0dd30ff95ef243eafe80a40b92cd3e3586cab11170e8.npz,573536,5793600,[]
00b7e13149a5f46970a4578341d94c55815df5031fcb35fb3ac3f252c7192404.npz,4008,6111768,[]
016e371ffb5d89c26044c25abddbeadc679fcde1c3a60d84e5815fe7ff72f239.npz,916522,6048412,"[[1649464, 1653632], [1819104, 1820696], [4718368, 4719952]]"
01057d28ab74a8426a7855dcb05388a58021920e313d6b9a512a45a388031651.npz,6280,4994752,[]
039f23c6472957f7149832b24c72218e8ff75419ad70283e8208fb027a664d7c.npz,1668799,6651992,"[[1667800, 1824496], [1887864, 1893352], [1893996, 1901477], [1956168, 1960736], [2053696, 2057664], [2140784, 2143200], [2143840, 2145032], [3147112, 3148304], [3741516, 3883408]]"
